dataset_id,dataset_name,seed,retention_ratio_requested,retention_ratio_effective,k_requested,k_used,method,classifier,accuracy,macro_f1,recon_mse,var_explained,fit_time_sec,transform_time_sec,status,error
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,PCA_or_SVD,LR,0.8892508143322475,0.8822215201299873,1.1617305589624027,0.2692212573875834,0.003996372222900391,0.0003802776336669922,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,PCA_or_SVD,GB,0.9098805646036916,0.9049383130570385,1.1617305589624027,0.2692212573875834,0.003996372222900391,0.0003802776336669922,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,PCA_or_SVD,SVM_RBF,0.9077090119435396,0.9021242972040693,1.1617305589624027,0.2692212573875834,0.003996372222900391,0.0003802776336669922,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,UMAP,LR,0.8545059717698155,0.8476776563286827,,,10.922418117523193,2.9250547885894775,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,UMAP,GB,0.8903365906623235,0.883571956938859,,,10.922418117523193,2.9250547885894775,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,UMAP,SVM_RBF,0.8555917480998915,0.8461639897671229,,,10.922418117523193,2.9250547885894775,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,AE,LR,0.8914223669923995,0.883722691876496,0.5862118601799011,,0.8998599052429199,0.00368499755859375,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,AE,GB,0.9218241042345277,0.9176649383157518,0.5862118601799011,,0.8998599052429199,0.00368499755859375,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,AE,SVM_RBF,0.9077090119435396,0.9017957386488369,0.5862118601799011,,0.8998599052429199,0.00368499755859375,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,SelectKBest,LR,0.8762214983713354,0.8655921962210047,,,0.000873565673828125,0.0002028942108154297,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,SelectKBest,GB,0.9033659066232356,0.8972903209638312,,,0.000873565673828125,0.0002028942108154297,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,SelectKBest,SVM_RBF,0.9033659066232356,0.8969385458564314,,,0.000873565673828125,0.0002028942108154297,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,RFE,LR,0.8121606948968513,0.7982301624588282,,,0.051735877990722656,0.0002593994140625,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,RFE,GB,0.8338762214983714,0.8245816926989644,,,0.051735877990722656,0.0002593994140625,OK,
D9,Spambase (UCI 94),0,0.1,0.08771929824561403,5,5,RFE,SVM_RBF,0.7785016286644951,0.7456489955054963,,,0.051735877990722656,0.0002593994140625,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,PCA_or_SVD,LR,0.9098805646036916,0.9048384346013989,0.8998085484486714,0.46437429613054293,0.03276419639587402,0.0003204345703125,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,PCA_or_SVD,GB,0.9229098805646037,0.9190141150331232,0.8998085484486714,0.46437429613054293,0.03276419639587402,0.0003204345703125,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,PCA_or_SVD,SVM_RBF,0.9359391965255157,0.9325655710748879,0.8998085484486714,0.46437429613054293,0.03276419639587402,0.0003204345703125,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,UMAP,LR,0.8707926167209555,0.8650492956272371,,,7.861894130706787,1.4200665950775146,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,UMAP,GB,0.8979370249728555,0.8919381091228631,,,7.861894130706787,1.4200665950775146,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,UMAP,SVM_RBF,0.8479913137893594,0.8388813915129705,,,7.861894130706787,1.4200665950775146,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,AE,LR,0.9077090119435396,0.9019064863137715,0.29280224442481995,,0.627763032913208,0.0004229545593261719,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,AE,GB,0.9250814332247557,0.9209728144691043,0.29280224442481995,,0.627763032913208,0.0004229545593261719,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,AE,SVM_RBF,0.9294245385450597,0.9257078325401307,0.29280224442481995,,0.627763032913208,0.0004229545593261719,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,SelectKBest,LR,0.9055374592833876,0.90046051005184,,,0.0008409023284912109,0.0002117156982421875,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,SelectKBest,GB,0.9446254071661238,0.9418270403759055,,,0.0008409023284912109,0.0002117156982421875,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,SelectKBest,SVM_RBF,0.9239956568946797,0.920033837085843,,,0.0008409023284912109,0.0002117156982421875,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,RFE,LR,0.8914223669923995,0.8830078045607902,,,0.04983854293823242,0.00026679039001464844,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,RFE,GB,0.9163952225841476,0.911810242233638,,,0.04983854293823242,0.00026679039001464844,OK,
D9,Spambase (UCI 94),0,0.25,0.24561403508771928,14,14,RFE,SVM_RBF,0.8794788273615635,0.8672050462368204,,,0.04983854293823242,0.00026679039001464844,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,PCA_or_SVD,LR,0.9261672095548317,0.9222391084093211,0.4537823986153712,0.7072752496679169,0.13350939750671387,0.0008807182312011719,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,PCA_or_SVD,GB,0.9218241042345277,0.9174065106268496,0.4537823986153712,0.7072752496679169,0.13350939750671387,0.0008807182312011719,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,PCA_or_SVD,SVM_RBF,0.9446254071661238,0.941768479776848,0.4537823986153712,0.7072752496679169,0.13350939750671387,0.0008807182312011719,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,UMAP,LR,0.8762214983713354,0.8700311942959003,,,8.2249436378479,1.4398975372314453,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,UMAP,GB,0.9022801302931596,0.8964237516869096,,,8.2249436378479,1.4398975372314453,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,UMAP,SVM_RBF,0.8566775244299675,0.8474078462480796,,,8.2249436378479,1.4398975372314453,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,AE,LR,0.9207383279044516,0.9164783590090151,0.14919298887252808,,0.6307411193847656,0.00037288665771484375,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,AE,GB,0.9272529858849077,0.9231828327505269,0.14919298887252808,,0.6307411193847656,0.00037288665771484375,OK,
D9,Spambase (UCI 94),0,0.5,0.49122807017543857,28,28,AE,SVM_RBF,0.9359391965255157,0.9327018702387926,0.14919298887252808,,0.6307411193847656,0.00037288665771484375,OK,
