dataset_id,dataset_name,seed,retention_ratio_requested,retention_ratio_effective,k_requested,k_used,method,classifier,accuracy,macro_f1,recon_mse,var_explained,fit_time_sec,transform_time_sec,status,error
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,PCA_or_SVD,LR,0.8028333333333333,0.6044800849481826,,0.8344306708861484,0.05680394172668457,0.004997968673706055,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,PCA_or_SVD,GB,0.8048333333333333,0.6358912173966264,,0.8344306708861484,0.05680394172668457,0.004997968673706055,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,PCA_or_SVD,SVM_RBF,0.8025,0.5973020027117264,,0.8344306708861484,0.05680394172668457,0.004997968673706055,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,UMAP,LR,0.8071666666666667,0.6408525979285855,,,21.26241374015808,18.62793779373169,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,UMAP,GB,0.806,0.6357490790981515,,,21.26241374015808,18.62793779373169,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,UMAP,SVM_RBF,0.8076666666666666,0.6363841841614328,,,21.26241374015808,18.62793779373169,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,AE,LR,0.809,0.6357463565629967,0.010141258127987385,,4.616374492645264,0.0017058849334716797,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,AE,GB,0.8161666666666667,0.66355400743628,0.010141258127987385,,4.616374492645264,0.0017058849334716797,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,AE,SVM_RBF,0.8201666666666667,0.6711448502294391,0.010141258127987385,,4.616374492645264,0.0017058849334716797,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,SelectKBest,LR,0.8206666666666667,0.67771539753626,,,0.007398843765258789,0.0014884471893310547,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,SelectKBest,GB,0.8221666666666667,0.6879474453195163,,,0.007398843765258789,0.0014884471893310547,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,SelectKBest,SVM_RBF,0.8241666666666667,0.6848846013060912,,,0.007398843765258789,0.0014884471893310547,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,RFE,LR,0.8226666666666667,0.6734337094984139,,,0.6575360298156738,0.0014224052429199219,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,RFE,GB,0.8226666666666667,0.6737044420560627,,,0.6575360298156738,0.0014224052429199219,OK,
D5,Credit Card Default (OpenML 46374),0,0.1,0.09655172413793103,14,14,RFE,SVM_RBF,0.8226666666666667,0.6737044420560627,,,0.6575360298156738,0.0014224052429199219,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,PCA_or_SVD,LR,0.8213333333333334,0.6778843572791324,,0.949484808392877,0.10371947288513184,0.003473997116088867,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,PCA_or_SVD,GB,0.8166666666666667,0.6689395471574549,,0.949484808392877,0.10371947288513184,0.003473997116088867,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,PCA_or_SVD,SVM_RBF,0.8203333333333334,0.6705023829993086,,0.949484808392877,0.10371947288513184,0.003473997116088867,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,UMAP,LR,0.8075,0.631104325134108,,,14.081676244735718,11.436556339263916,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,UMAP,GB,0.8081666666666667,0.6387342012256777,,,14.081676244735718,11.436556339263916,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,UMAP,SVM_RBF,0.8093333333333333,0.6298596292254727,,,14.081676244735718,11.436556339263916,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,AE,LR,0.8165,0.6544277632923294,0.004147055093199015,,4.504093170166016,0.0015056133270263672,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,AE,GB,0.8153333333333334,0.6576516302538733,0.004147055093199015,,4.504093170166016,0.0015056133270263672,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,AE,SVM_RBF,0.822,0.6740960692364795,0.004147055093199015,,4.504093170166016,0.0015056133270263672,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,SelectKBest,LR,0.8221666666666667,0.6807929975497049,,,0.007161617279052734,0.0017476081848144531,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,SelectKBest,GB,0.8248333333333333,0.6878121228998422,,,0.007161617279052734,0.0017476081848144531,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,SelectKBest,SVM_RBF,0.8231666666666667,0.6795160783400442,,,0.007161617279052734,0.0017476081848144531,OK,
D5,Credit Card Default (OpenML 46374),0,0.25,0.2482758620689655,36,36,RFE,LR,0.823,0.6841716464649529,,,0.6590771675109863,0.0017399787902832031,OK,
