dataset_id,dataset_name,seed,retention_ratio_requested,retention_ratio_effective,k_requested,k_used,method,classifier,accuracy,macro_f1,recon_mse,var_explained,fit_time_sec,transform_time_sec,status,error
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,PCA_or_SVD,LR,0.7535545023696683,0.710958904109589,0.4966250680815654,0.4983159197074958,0.0015668869018554688,0.0001380443572998047,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,PCA_or_SVD,GB,0.8104265402843602,0.7862208713272543,0.4966250680815654,0.4983159197074958,0.0015668869018554688,0.0001380443572998047,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,PCA_or_SVD,SVM_RBF,0.7772511848341233,0.7328754208754209,0.4966250680815654,0.4983159197074958,0.0015668869018554688,0.0001380443572998047,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,UMAP,LR,0.6350710900473934,0.4846312450436162,,,4.474668264389038,1.5939960479736328,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,UMAP,GB,0.7725118483412322,0.735423197492163,,,4.474668264389038,1.5939960479736328,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,UMAP,SVM_RBF,0.6635071090047393,0.39886039886039887,,,4.474668264389038,1.5939960479736328,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,AE,LR,0.8056872037914692,0.7647714604236343,0.3143501281738281,,0.33556628227233887,0.03310346603393555,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,AE,GB,0.8672985781990521,0.8469112769485904,0.3143501281738281,,0.33556628227233887,0.03310346603393555,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,AE,SVM_RBF,0.8436018957345972,0.8141465367676498,0.3143501281738281,,0.33556628227233887,0.03310346603393555,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,SelectKBest,LR,0.7345971563981043,0.6706066012488849,,,0.0004642009735107422,0.00013875961303710938,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,SelectKBest,GB,0.8056872037914692,0.7784351389422461,,,0.0004642009735107422,0.00013875961303710938,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,SelectKBest,SVM_RBF,0.7582938388625592,0.7015558698727016,,,0.0004642009735107422,0.00013875961303710938,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,RFE,LR,0.7345971563981043,0.6706066012488849,,,0.013457775115966797,0.00017976760864257812,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,RFE,GB,0.7345971563981043,0.6706066012488849,,,0.013457775115966797,0.00017976760864257812,OK,
D8,QSAR Biodegradation (UCI),0,0.1,0.0975609756097561,4,4,RFE,SVM_RBF,0.7345971563981043,0.6739514348785872,,,0.013457775115966797,0.00017976760864257812,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,PCA_or_SVD,LR,0.8341232227488151,0.8062747566957844,0.2604606748923047,0.7513346821305487,0.001817941665649414,0.00016951560974121094,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,PCA_or_SVD,GB,0.8672985781990521,0.8514084507042254,0.2604606748923047,0.7513346821305487,0.001817941665649414,0.00016951560974121094,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,PCA_or_SVD,SVM_RBF,0.8625592417061612,0.8381088446172977,0.2604606748923047,0.7513346821305487,0.001817941665649414,0.00016951560974121094,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,UMAP,LR,0.7677725118483413,0.7264597719395719,,,1.1887195110321045,0.13598084449768066,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,UMAP,GB,0.8056872037914692,0.7816561924232099,,,1.1887195110321045,0.13598084449768066,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,UMAP,SVM_RBF,0.6682464454976303,0.4383176148463645,,,1.1887195110321045,0.13598084449768066,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,AE,LR,0.8246445497630331,0.7916188442546377,0.17126253247261047,,0.1660623550415039,0.00018644332885742188,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,AE,GB,0.8530805687203792,0.8298254286234618,0.17126253247261047,,0.1660623550415039,0.00018644332885742188,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,AE,SVM_RBF,0.8578199052132701,0.8302767052767053,0.17126253247261047,,0.1660623550415039,0.00018644332885742188,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,SelectKBest,LR,0.7535545023696683,0.7030742584975103,,,0.0004086494445800781,0.00012564659118652344,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,SelectKBest,GB,0.8483412322274881,0.8221285563751317,,,0.0004086494445800781,0.00012564659118652344,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,SelectKBest,SVM_RBF,0.7867298578199052,0.7465634592286133,,,0.0004086494445800781,0.00012564659118652344,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,RFE,LR,0.8530805687203792,0.8284147845019806,,,0.012764453887939453,0.00016427040100097656,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,RFE,GB,0.8625592417061612,0.8394847984050786,,,0.012764453887939453,0.00016427040100097656,OK,
D8,QSAR Biodegradation (UCI),0,0.25,0.24390243902439024,10,10,RFE,SVM_RBF,0.8625592417061612,0.8408044332283997,,,0.012764453887939453,0.00016427040100097656,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,PCA_or_SVD,LR,0.8720379146919431,0.8551745176297125,0.07367123536576992,0.9343767414595306,0.0023775100708007812,0.000156402587890625,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,PCA_or_SVD,GB,0.8909952606635071,0.8757075169676014,0.07367123536576992,0.9343767414595306,0.0023775100708007812,0.000156402587890625,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,PCA_or_SVD,SVM_RBF,0.8625592417061612,0.8408044332283997,0.07367123536576992,0.9343767414595306,0.0023775100708007812,0.000156402587890625,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,UMAP,LR,0.7677725118483413,0.7240357667156012,,,1.2314705848693848,0.13637089729309082,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,UMAP,GB,0.7488151658767772,0.7351067105668332,,,1.2314705848693848,0.13637089729309082,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,UMAP,SVM_RBF,0.6635071090047393,0.39886039886039887,,,1.2314705848693848,0.13637089729309082,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,AE,LR,0.8530805687203792,0.8324753489563325,0.12707847356796265,,0.2688603401184082,0.00020360946655273438,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,AE,GB,0.8815165876777251,0.8627624424382756,0.12707847356796265,,0.2688603401184082,0.00020360946655273438,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,AE,SVM_RBF,0.8625592417061612,0.8366742292806619,0.12707847356796265,,0.2688603401184082,0.00020360946655273438,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,SelectKBest,LR,0.8388625592417062,0.8182877406281661,,,0.00042939186096191406,0.0001404285430908203,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,SelectKBest,GB,0.8625592417061612,0.8408044332283997,,,0.00042939186096191406,0.0001404285430908203,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,SelectKBest,SVM_RBF,0.8672985781990521,0.8492549499897939,,,0.00042939186096191406,0.0001404285430908203,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,RFE,LR,0.8625592417061612,0.8432833909591497,,,0.011868953704833984,0.00017189979553222656,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,RFE,GB,0.8672985781990521,0.8415915915915916,,,0.011868953704833984,0.00017189979553222656,OK,
D8,QSAR Biodegradation (UCI),0,0.5,0.4878048780487805,20,20,RFE,SVM_RBF,0.8767772511848341,0.856687565308255,,,0.011868953704833984,0.00017189979553222656,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,PCA_or_SVD,LR,0.8483412322274881,0.8289766970618034,0.01445481125448976,0.9876374367698526,0.0027854442596435547,0.00020265579223632812,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,PCA_or_SVD,GB,0.8672985781990521,0.8481077745783627,0.01445481125448976,0.9876374367698526,0.0027854442596435547,0.00020265579223632812,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,PCA_or_SVD,SVM_RBF,0.8862559241706162,0.8677115987460815,0.01445481125448976,0.9876374367698526,0.0027854442596435547,0.00020265579223632812,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,UMAP,LR,0.7867298578199052,0.7509246871802944,,,1.3811581134796143,0.14443659782409668,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,UMAP,GB,0.8104265402843602,0.7931372549019607,,,1.3811581134796143,0.14443659782409668,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,UMAP,SVM_RBF,0.7203791469194313,0.6393789287679963,,,1.3811581134796143,0.14443659782409668,OK,
D8,QSAR Biodegradation (UCI),0,0.75,0.7317073170731707,30,30,AE,LR,0.8436018957345972,0.8188464240185238,0.10419303178787231,,0.1671619415283203,0.00026869773864746094,OK,
