dataset_id,dataset_name,seed,retention_ratio_requested,retention_ratio_effective,k_requested,k_used,method,classifier,accuracy,macro_f1,recon_mse,var_explained,fit_time_sec,transform_time_sec,status,error
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,PCA_or_SVD,LR,0.7402597402597403,0.6676019857543708,0.685903512426811,0.25975683523381815,0.022631168365478516,0.00012636184692382812,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,PCA_or_SVD,GB,0.6948051948051948,0.6286491201067159,0.685903512426811,0.25975683523381815,0.022631168365478516,0.00012636184692382812,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,PCA_or_SVD,SVM_RBF,0.7337662337662337,0.6509866784589022,0.685903512426811,0.25975683523381815,0.022631168365478516,0.00012636184692382812,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,UMAP,LR,0.6818181818181818,0.5896013487790286,,,3.678154706954956,1.6399919986724854,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,UMAP,GB,0.7272727272727273,0.6703363914373088,,,3.678154706954956,1.6399919986724854,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,UMAP,SVM_RBF,0.7207792207792207,0.6454082998661312,,,3.678154706954956,1.6399919986724854,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,AE,LR,0.6753246753246753,0.5378151260504201,0.6376274228096008,,1.2162563800811768,0.0002143383026123047,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,AE,GB,0.6948051948051948,0.6286491201067159,0.6376274228096008,,1.2162563800811768,0.0002143383026123047,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,AE,SVM_RBF,0.6883116883116883,0.5807622504537205,0.6376274228096008,,1.2162563800811768,0.0002143383026123047,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,SelectKBest,LR,0.7662337662337663,0.724398488765162,,,0.0023801326751708984,0.0001354217529296875,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,SelectKBest,GB,0.7662337662337663,0.724398488765162,,,0.0023801326751708984,0.0001354217529296875,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,SelectKBest,SVM_RBF,0.7662337662337663,0.7174311926605504,,,0.0023801326751708984,0.0001354217529296875,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,RFE,LR,0.7662337662337663,0.724398488765162,,,0.0065648555755615234,0.00016355514526367188,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,RFE,GB,0.7662337662337663,0.724398488765162,,,0.0065648555755615234,0.00016355514526367188,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.1,0.125,1,1,RFE,SVM_RBF,0.7662337662337663,0.7174311926605504,,,0.0065648555755615234,0.00016355514526367188,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,PCA_or_SVD,LR,0.7142857142857143,0.65,0.487197923961179,0.4746314825707438,0.0005586147308349609,0.00010156631469726562,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,PCA_or_SVD,GB,0.7337662337662337,0.6879663948603905,0.487197923961179,0.4746314825707438,0.0005586147308349609,0.00010156631469726562,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,PCA_or_SVD,SVM_RBF,0.7337662337662337,0.6716076350964789,0.487197923961179,0.4746314825707438,0.0005586147308349609,0.00010156631469726562,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,UMAP,LR,0.6818181818181818,0.5896013487790286,,,0.4471597671508789,0.0661616325378418,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,UMAP,GB,0.7272727272727273,0.6703363914373088,,,0.4471597671508789,0.0661616325378418,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,UMAP,SVM_RBF,0.7207792207792207,0.6454082998661312,,,0.4471597671508789,0.0661616325378418,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,AE,LR,0.7272727272727273,0.6453947368421052,0.44252708554267883,,0.1618640422821045,0.00016498565673828125,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,AE,GB,0.6753246753246753,0.6172201232849472,0.44252708554267883,,0.1618640422821045,0.00016498565673828125,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,AE,SVM_RBF,0.7012987012987013,0.6051282051282052,0.44252708554267883,,0.1618640422821045,0.00016498565673828125,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,SelectKBest,LR,0.7922077922077922,0.7550208789023662,,,0.0003223419189453125,0.00011515617370605469,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,SelectKBest,GB,0.7987012987012987,0.7760262725779967,,,0.0003223419189453125,0.00011515617370605469,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,SelectKBest,SVM_RBF,0.7922077922077922,0.7550208789023662,,,0.0003223419189453125,0.00011515617370605469,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,RFE,LR,0.7922077922077922,0.7550208789023662,,,0.00423741340637207,0.0001609325408935547,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,RFE,GB,0.7987012987012987,0.7760262725779967,,,0.00423741340637207,0.0001609325408935547,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.25,0.25,2,2,RFE,SVM_RBF,0.7922077922077922,0.7550208789023662,,,0.00423741340637207,0.0001609325408935547,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,PCA_or_SVD,LR,0.7077922077922078,0.6534133533383346,0.2695254025763347,0.7129393498671002,0.0005469322204589844,0.00010180473327636719,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,PCA_or_SVD,GB,0.7792207792207793,0.7397096838337642,0.2695254025763347,0.7129393498671002,0.0005469322204589844,0.00010180473327636719,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,PCA_or_SVD,SVM_RBF,0.7272727272727273,0.6659090909090909,0.2695254025763347,0.7129393498671002,0.0005469322204589844,0.00010180473327636719,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,UMAP,LR,0.7012987012987013,0.6116228070175439,,,0.4945406913757324,0.07096004486083984,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,UMAP,GB,0.7077922077922078,0.6685320705983642,,,0.4945406913757324,0.07096004486083984,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,UMAP,SVM_RBF,0.7207792207792207,0.6277056277056277,,,0.4945406913757324,0.07096004486083984,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,AE,LR,0.7402597402597403,0.7006802721088435,0.26645466685295105,,0.1578834056854248,0.00016260147094726562,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,AE,GB,0.7597402597402597,0.7246145667198298,0.26645466685295105,,0.1578834056854248,0.00016260147094726562,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,AE,SVM_RBF,0.7662337662337663,0.7275943396226415,0.26645466685295105,,0.1578834056854248,0.00016260147094726562,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,SelectKBest,LR,0.7727272727272727,0.730432608152038,,,0.0003228187561035156,0.00011587142944335938,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,SelectKBest,GB,0.7987012987012987,0.7640721522115147,,,0.0003228187561035156,0.00011587142944335938,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,SelectKBest,SVM_RBF,0.7662337662337663,0.7306122448979593,,,0.0003228187561035156,0.00011587142944335938,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,RFE,LR,0.7727272727272727,0.730432608152038,,,0.003148317337036133,0.00015807151794433594,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,RFE,GB,0.7987012987012987,0.7692716640085061,,,0.003148317337036133,0.00015807151794433594,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.5,0.5,4,4,RFE,SVM_RBF,0.7792207792207793,0.7397096838337642,,,0.003148317337036133,0.00015807151794433594,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,PCA_or_SVD,LR,0.7727272727272727,0.7366492402403869,0.08393022448143979,0.8934712259343682,0.0005490779876708984,0.00010275840759277344,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,PCA_or_SVD,GB,0.7922077922077922,0.7654673519893394,0.08393022448143979,0.8934712259343682,0.0005490779876708984,0.00010275840759277344,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,PCA_or_SVD,SVM_RBF,0.7987012987012987,0.7667464699272,0.08393022448143979,0.8934712259343682,0.0005490779876708984,0.00010275840759277344,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,UMAP,LR,0.7207792207792207,0.6506462674756002,,,0.5172934532165527,0.07251238822937012,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,UMAP,GB,0.6948051948051948,0.6501860712387029,,,0.5172934532165527,0.07251238822937012,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,UMAP,SVM_RBF,0.7142857142857143,0.6222965440356745,,,0.5172934532165527,0.07251238822937012,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,AE,LR,0.7142857142857143,0.6631537084907536,0.20657172799110413,,0.15705513954162598,0.0001633167266845703,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,AE,GB,0.7467532467532467,0.7127277945185824,0.20657172799110413,,0.15705513954162598,0.0001633167266845703,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,AE,SVM_RBF,0.7402597402597403,0.6937760986279579,0.20657172799110413,,0.15705513954162598,0.0001633167266845703,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,SelectKBest,LR,0.7727272727272727,0.730432608152038,,,0.00032448768615722656,0.0001163482666015625,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,SelectKBest,GB,0.7987012987012987,0.7667464699272,,,0.00032448768615722656,0.0001163482666015625,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,SelectKBest,SVM_RBF,0.7792207792207793,0.7397096838337642,,,0.00032448768615722656,0.0001163482666015625,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,RFE,LR,0.7792207792207793,0.7397096838337642,,,0.0019881725311279297,0.00016045570373535156,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,RFE,GB,0.8116883116883117,0.7841573631047316,,,0.0019881725311279297,0.00016045570373535156,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.75,0.75,6,6,RFE,SVM_RBF,0.7857142857142857,0.7543859649122806,,,0.0019881725311279297,0.00016045570373535156,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,PCA_or_SVD,LR,0.7727272727272727,0.7366492402403869,0.04606845395013459,0.9480349254998927,0.0005538463592529297,0.00010395050048828125,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,PCA_or_SVD,GB,0.8311688311688312,0.8032625786163522,0.04606845395013459,0.9480349254998927,0.0005538463592529297,0.00010395050048828125,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,PCA_or_SVD,SVM_RBF,0.7987012987012987,0.7667464699272,0.04606845395013459,0.9480349254998927,0.0005538463592529297,0.00010395050048828125,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,UMAP,LR,0.7532467532467533,0.6934841818562749,,,0.5311176776885986,0.07374787330627441,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,UMAP,GB,0.7402597402597403,0.6900161030595813,,,0.5311176776885986,0.07374787330627441,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,UMAP,SVM_RBF,0.7207792207792207,0.6210586552217454,,,0.5311176776885986,0.07374787330627441,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,AE,LR,0.7337662337662337,0.6915033957101675,0.13699856400489807,,0.15717744827270508,0.00016641616821289062,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,AE,GB,0.7792207792207793,0.7482692307692308,0.13699856400489807,,0.15717744827270508,0.00016641616821289062,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,AE,SVM_RBF,0.7532467532467533,0.70908729369656,0.13699856400489807,,0.15717744827270508,0.00016641616821289062,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,SelectKBest,LR,0.7727272727272727,0.730432608152038,,,0.00030875205993652344,0.00011396408081054688,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,SelectKBest,GB,0.8116883116883117,0.7792933036817395,,,0.00030875205993652344,0.00011396408081054688,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,SelectKBest,SVM_RBF,0.7922077922077922,0.7550208789023662,,,0.00030875205993652344,0.00011396408081054688,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,RFE,LR,0.7792207792207793,0.7427279874213837,,,0.00139617919921875,0.00016236305236816406,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,RFE,GB,0.8181818181818182,0.7904761904761906,,,0.00139617919921875,0.00016236305236816406,OK,
D1,Pima Indians Diabetes (OpenML 42608),0,0.9,0.875,7,7,RFE,SVM_RBF,0.7857142857142857,0.7516978550837934,,,0.00139617919921875,0.00016236305236816406,OK,
D1,Pima Indians Diabetes (OpenML 42608),1,0.1,0.125,1,1,PCA_or_SVD,LR,0.7337662337662337,0.6668952782906885,0.8588766855449324,0.26101932416847184,0.0005216598510742188,9.465217590332031e-05,OK,
D1,Pima Indians Diabetes (OpenML 42608),1,0.1,0.125,1,1,PCA_or_SVD,GB,0.6558441558441559,0.586671393123006,0.8588766855449324,0.26101932416847184,0.0005216598510742188,9.465217590332031e-05,OK,
D1,Pima Indians Diabetes (OpenML 42608),1,0.1,0.125,1,1,PCA_or_SVD,SVM_RBF,0.7012987012987013,0.6051282051282052,0.8588766855449324,0.26101932416847184,0.0005216598510742188,9.465217590332031e-05,OK,
D1,Pima Indians Diabetes (OpenML 42608),1,0.1,0.125,1,1,UMAP,LR,0.7142857142857143,0.6285087719298246,,,0.44293951988220215,0.06690192222595215,OK,
